day,date,tips_prwi,kartes_prwi,tips_bradi,kartes_bradi,tamio_prwi,tamio_bradi,synola_atomwn,plhrothta,prwina,hbd
pem,1_5_25,12.5,3,6,12.12,228,1035,174,48.82,198,22
par,2_5_25,17.7,3,18,14.98,375,1048,171,48.24,173,25
sav,3_5_25,5,6.58,10,16.55,536.5,905.5,179,50.59,170,22
kyr,4_5_25,20,14.53,25.3,6.25,568,624,204,60.59,178,26
def,5_5_25,4,0,15,9.42,305.5,732,271,79.41,204,36
tri,6_5_25,21.75,2,17,16.1,778.5,1059.5,293,84.71,267,46
tet,7_5_25,13.5,27,70.5,18.48,873,1387.5,312,90,289,48
pem,8_5_25,30,11.95,41,15.48,940.5,1516,301,87.06,307,58
par,9_5_25,12.5,41.25,60.5,16.33,1035,945,276,80,299,56
sav,10_5_25,23.7,18.48,15,43.35,520,1345.5,250,73.53,274,57
kyr,11_5_25,5,19.8,1,15.08,648.5,788,266,80.59,249,53
def,12_5_25,3.5,10.55,57,22.68,375.5,981,257,77.65,265,55
tri,13_5_25,10,14.25,41,9,551,605,235,68.24,256,55
tet,14_5_25,55,4.5,95.7,24.1,967,1170.5,306,88.82,233,84
pem,15_5_25,36.5,17.5,72,32,662,837,296,86.47,305,47
par,16_5_25,54.5,9.8,48,50,483,1375,289,84.71,296,49
sav,17_5_25,20,11.5,9.5,15.9,393.5,744.5,265,74.12,289,50
kyr,18_5_25,11.5,9.1,4.8,25.35,767,1099.5,286,78.24,264,47
def,19_5_25,30,0,54.9,12.92,607.5,1393.5,290,81.76,284,51
tri,20_5_25,12.8,9.58,30.2,15.1,734,1276.5,271,78.24,264,47
tet,21_5_25,28,1.5,24.5,13.65,900,744.5,280,81.18,267,45
pem,22_5_25,23.8,9.9,59.9,79.08,814.5,1426.5,323,97.06,277,50
par,23_5_25,27.5,17.65,45,15.85,1009.5,1316,268,78.24,320,44
sav,24_5_25,34.1,26.88,80,40.78,1103.5,2389.5,255,71.18,265,50
kyr,25_5_25,60,22.15,98.3,17.12,1603.5,1973.5,240,68.24,253,51
def,26_5_25,18.3,1.05,83.5,32.5,600.5,1301,335,95.88,238,49
tri,27_5_25,24,39.28,59.5,23.2,1072.5,1489,310,89.41,333,47
tet,28_5_25,111.4,8.7,40.5,9.32,1112.5,1574,297,85.29,308,41
pem,29_5_25,42,2,57,20.45,673,1853,328,94.12,294,47
par,30_5_25,63,12.58,39,11.5,1385,1207,320,89.41,333,47
sav,31_5_25,83.5,0,75,10,1804,779,319,89.41,317,55
kyr,1_6_25,30.8,16.45,65.5,15.35,1093.5,1545,315,88.82,315,65
def,2_6_25,30,1.3,115.5,0,1090.5,1179.5,314,87.65,312,69
tri,3_6_25,58,21.15,208,29.53,1154.5,1643.5,329,94.12,311,75
tet,4_6_25,50,43.4,29.5,13.81,1679,1028.5,327,93.53,326,70
pem,5_6_25,14.7,10.5,35.6,24.47,834,1195.5,349,99.41,325,67
par,6_6_25,22,11.8,20,35.1,1725,1269.5,307,88.24,347,65
sav,7_6_25,19,16.35,57,56.86,1369,1597,310,87.65,305,59
kyr,8_6_25,23.5,17.85,41,43.35,1882.5,1615,303,88.82,304,69
def,9_6_25,30,33.38,44.8,27.05,1098,948.5,298,86.47,299,82
tri,10_6_25,27.5,12.1,36.2,27.57,873.5,1244.5,303,85.88,291,73
tet,11_6_25,21.5,16.7,9.5,27.78,986.5,1134,287,81.18,295,73
pem,12_6_25,20,2.32,61.5,16.05,682,831,289,81.76,281,72
par,13_6_25,10,16.4,24.5,44.1,1009.5,1018.5,307,85.88,284,70
sav,14_6_25,50,8,41.5,24.9,947,1332.5,301,85.29,302,80
kyr,15_6_25,35.5,4.3,0,0.48,539.5,543,314,89.41,295,74
def,16_6_25,26.4,13.25,51,24.8,1532,1532,290,82.53,306,59
tri,17_6_25,10.5,2.6,31.5,30.9,892,1251.5,286,84.12,288,59
tet,18_6_25,51.3,3,25.5,5.08,943,988,283,81.76,284,76
pem,19_6_25,26,47.58,5,36.72,1296,1333,291,84.12,272,76
par,20_6_25,44,2.55,70.5,23.45,951.5,2106.5,298,86.47,288,89
sav,21_6_25,120.2,26.8,197,22.6,1241,1654.5,335,93.53,295,86
kyr,22_6_25,110,6.3,72,15.67,1775,1961,338,94.12,330,87
def,23_6_25,26.8,16.22,29.5,13.85,741.5,1962.5,329,89.41,332,81
tri,24_6_25,158.7,10,92,2,2087,1761.5,329,88.24,323,66
tet,25_6_25,47.6,13.26,38,26.83,2279.5,2279,352,95.88,323,66
pem,26_6_25,150.4,13.8,86,46.95,2412.5,1937,338,92.94,345,59
par,27_6_25,36.5,2.85,65,42.5,1408.5,1999.5,340,94.12,333,52
sav,28_6_25,56.1,18.57,80,129.27,1450,3005,339,94.71,335,56
kyr,29_6_25,15.9,12.32,34,19.5,1497.5,1086.5,304,85.29,337,51
def,30_6_25,17.6,10.02,73.2,17.88,1366,1467,354,99.41,303,59
